p1	p2	values
1	2	0.4099084306854262
1	3	0.40644378637865153
1	4	0.2827926012653481
1	5	0.2889554452444916
2	3	0.38737897441764985
2	4	0.2365599029616702
2	5	0.25325175650397314
3	4	0.2629444932058549
3	5	0.29234423369429036
4	5	0.15163669533245658
2	1	0.4099084306854262
3	1	0.40644378637865153
4	1	0.2827926012653481
5	1	0.2889554452444916
3	2	0.38737897441764985
4	2	0.2365599029616702
5	2	0.25325175650397314
4	3	0.2629444932058549
5	3	0.29234423369429036
5	4	0.15163669533245658
1	1	-0.0033444816053511705
2	2	-0.0033444816053511705
3	3	-0.0033444816053511705
4	4	-0.0033444816053511705
5	5	-0.0033444816053511705
